page,product_name,price_range,orders,company_name
https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 OTG MiPad 4 8"" PC Snapdragon 660 Octa Core 1920x1200 Tablet Android",US $178.99 - 239.99, Orders  (3653),Mi France Store
https://www.aliexpress.com/category/200216607/tablet.html,"Xiaomi Mi Pad 4 Plus PC 10.1"" Snapdragon 660 Octa Core Face 1920x1080 Tablet Android",US $305.99 - 352.99, Orders  (466),Xiaomi Online Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Air MT6797 X23 10 Core Android 4GB RAM 64GB ROM 2560x1600 Display Tablet,US $189.70 - 201.56, Orders  (3349),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,Xiaomi Mi Pad 4 MiPad 4 OTG 660 Octa Core Tablets PC 1920x1200 kids Tablet Android,US $175.99 - 218.99, Orders  (618),Mi France Store
https://www.aliexpress.com/category/200216607/tablet.html,Multi-language Xiaomi Mi 4 Plus 64GB/128GB Tablets 4 Snapdragon 1920x1200 Screen,US $295.99 - 325.99, Orders  (654),Hong Kong Goldway
https://www.aliexpress.com/category/200216607/tablet.html,10.1 inch Tablet PC 10 Core 4G LTE Android 7.0 RAM 4GB ROM 64GB Tablets Deca Core,US $128.99 - 179.05, Orders  (4),CG Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi9 Plus Deca Core Android 8.0 Tablet PC 2560x1600 Display 4GB RAM 64GB ROM,US $219.84 - 254.56, Orders  (1537),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html,Multi-language Xiaomi Mi 4 Plus 64GB/128GB Tablets 4 Snapdragon 1920x1200 Screen,US $309.99 - 329.99, Orders  (2385),Xiaomi Mi Store
https://www.aliexpress.com/category/200216607/tablet.html,2019 New Google Play Android 8.0 OS 10.6 inch ,US $71.28 - 194.70, Orders  (89),Shop3583006 Store
https://www.aliexpress.com/category/200216607/tablet.html, Octa Core 6GB RAM 128GB ROM 1920*1280 IPS 2.5D Glass Kids ,US $189.70 - 237.13, Orders  (640),CHUWI Official Store
https://www.aliexpress.com/category/200216607/tablet.html, 10 10.1,US $157.98 - 197.98, Orders  (78),Top Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,CHUWI Hi10 Air Intel Quad Core Windows 10 Tablet 10.1 Inch 4GB RAM 64GB ROM 1 Tablet,US $309.99 - 329.99, Orders  (1125),Xiaomi Mi Store
https://www.aliexpress.com/category/200216607/tablet.html,FULCOL Super Tempered Glass 10 inch Tablet PC Android 8.0 4GB RAM 64GB ROM Octa Core,US $72.69 - 77.51, Orders  (2),ShenZhen GO GO co Store
https://www.aliexpress.com/category/200216607/tablet.html,Xiaomi Mi Pad 4 Plus 64GB/128GB Snapdragon 660 AIE MiPad 4 1920x1200 Screen Tablets,US $82.47 - 103.47, Orders  (3578),"SHENZHEN BDF TOUCH TECHNOLOGY CO.,LTD."
https://www.aliexpress.com/category/200216607/tablet.html,ZONNYOU 10.1- inch 3G Phone Call Android 8.0 Octa Core 4GB RAM 32GB ROM Tablet PC,US $179.99 - 186.99, Orders  (35),ALLDOCUBE Official Store
https://www.aliexpress.com/category/200216607/tablet.html,BDF 10 inch Design 3G Phone Call Android 7.0 Quad Core 4G 32G Tablet pc WiFi,US $199.80, Orders  (872),Teclast Global Store
https://www.aliexpress.com/category/200216607/tablet.html,ALLDOCUBE M5X 10.1 Inch 4G Tablet PC Android 8.0 Deca core 4GB RAM 64GB ROM,US $72.60 - 204.60, Orders  (14),Shop3583006 Store
https://www.aliexpress.com/category/200216607/tablet.html,Teclast T20 Fingerprint Tablet PC MT6797 X27 Deca Core 4GB 64GB 10.1 inch Android 7.0,US $86.23 - 107.79, Orders  (512),Tablets Android Store
https://www.aliexpress.com/category/200216607/tablet.html,10.6' 4G Phone Call ,US $607.48 - 678.70, Orders  (12),Teclast Global Store
https://www.aliexpress.com/category/200216607/tablet.html, Android 8.0 OctaCore 6G+128G ,US $72.96 - 92.16, Orders  (601),Top Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html, Pc Built-in 3G Dual SIM Card laptop WiFi GPS Bluetooth FM ,US $167.65 - 201.98, Orders  (13),Fagesiwei Store
https://www.aliexpress.com/category/200216607/tablet.html,Lonwalk 2019 10 inch 4G LTE Tablet PC Octa Core 4GB RAM 64GB ROM Android 7.0,US $78.01 - 95.87, Orders  (102),NewPhone Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,Teclast X6 PRO 2 in 1 Tablets 8GB RAM 256GB ROM Core Windows 10 Home Tablet PC 12.6,US $168.99 - 194.99, Orders  (35),"MC Computer accessories Technology Co., Ltd."
https://www.aliexpress.com/category/200216607/tablet.html,FULCOL 2019 10 inch tablet PC 3G 4G LTE Android 7.0 Octa Core 4GB RAM 64GB ROM WiFi,US $98.00 - 129.00, Order  (1),Mon Cheng Tablets Store
https://www.aliexpress.com/category/200216607/tablet.html,ALLDOCUBE IWork 10 Pro 2 Inch 1 Tablet PC Intel Atom 4GB Ram 64GB Rom 10.1 Inch,US $88.00, Orders  (3),KINDOM OF PC Store
https://www.aliexpress.com/category/200216607/tablet.html,RUNNINGLION Tempered Glass Tablet PC 10 Inch 128GB Android 8.0 kids Tablets Octa Core,US $143.99, Orders  (414),ALLDOCUBE Official Store
https://www.aliexpress.com/category/200216607/tablet.html,ALLDOCUBE M5X 10.1 Inch 4G Tablet PC 4GB RAM 64GB ROM Android 8.0 Deca Core,US $74.48 - 94.57, Orders  (1369),Tablet Factory Store
https://www.aliexpress.com/category/200216607/tablet.html,BDF Double SIM 10 Inch Four Core Android 7.0 4GB 32GB IPS HD Screen Tablet Pc 3G Card,US $293.08 - 324.08, Orders  (34),So Store
https://www.aliexpress.com/category/200216607/tablet.html,NERLMIAY 2018 New ,US $74.51 - 78.47, Orders  (526),ShenZhen GO GO co Store
